FILE: acculturation.XPT
------------------------------------------------------------
SHAPE: (11372, 5)
COLUMNS: ['SEQN', 'ACD010A', 'ACD010B', 'ACD010C', 'ACD040']
SEQN present: YES

Missing %:
SEQN        0.00
ACD010A    24.38
ACD010B    99.77
ACD010C    93.94
ACD040     79.56

Full DataFrame Preview:
           SEQN  ACD010A  ACD010B  ACD010C  ACD040
313    130705.0      1.0      NaN      NaN     NaN
314    130707.0      1.0      NaN      NaN     NaN
315    130708.0      1.0      NaN      NaN     NaN
316    130709.0      1.0      NaN      NaN     NaN
317    130710.0      1.0      NaN      NaN     NaN
318    130711.0      NaN      NaN      NaN     3.0
319    130712.0      1.0      NaN      9.0     NaN
320    130713.0      1.0      NaN      NaN     NaN
321    130714.0      1.0      NaN      NaN     NaN
322    130715.0      1.0      NaN      NaN     NaN
323    130716.0      NaN      NaN      NaN     4.0
324    130717.0      1.0      NaN      NaN     NaN
325    130718.0      NaN      NaN      NaN     3.0
326    130719.0      1.0      NaN      NaN     NaN
327    130720.0      1.0      NaN      NaN     NaN
328    130721.0      1.0      NaN      NaN     NaN
329    130722.0      1.0      NaN      NaN     NaN
330    130723.0      1.0      NaN      NaN     NaN
331    130724.0      1.0      NaN      NaN     NaN
332    130725.0      1.0      NaN      NaN     NaN
333    130726.0      1.0      NaN      NaN     NaN
334    130727.0      1.0      NaN      NaN     NaN
335    130728.0      1.0      NaN      NaN     NaN
336    130729.0      NaN      NaN      NaN     1.0
337    130730.0      1.0      NaN      NaN     NaN
338    130732.0      1.0      NaN      NaN     NaN
339    130733.0      1.0      NaN      NaN     NaN
340    130734.0      1.0      NaN      NaN     NaN
341    130735.0      NaN      NaN      NaN     3.0
342    130738.0      1.0      NaN      NaN     NaN
343    130739.0      NaN      NaN      NaN     1.0
344    130740.0      NaN      NaN      NaN     5.0
345    130741.0      1.0      NaN      NaN     NaN
346    130742.0      1.0      NaN      NaN     NaN
347    130743.0      1.0      NaN      NaN     NaN
348    130744.0      NaN      NaN      NaN     5.0
349    130745.0      NaN      NaN      NaN     2.0
350    130746.0      1.0      8.0      NaN     NaN
351    130747.0      1.0      NaN      NaN     NaN
352    130748.0      1.0      NaN      NaN     NaN
353    130749.0      1.0      NaN      NaN     NaN
354    130750.0      1.0      NaN      NaN     NaN
355    130751.0      NaN      NaN      NaN     5.0
356    130752.0      1.0      NaN      NaN     NaN
357    130753.0      NaN      NaN      9.0     NaN
358    130754.0      1.0      NaN      NaN     NaN
359    130755.0      1.0      NaN      NaN     NaN
360    130756.0      NaN      NaN      NaN     3.0
361    130757.0      1.0      NaN      NaN     NaN
362    130758.0      1.0      NaN      NaN     NaN
363    130759.0      1.0      NaN      NaN     NaN
364    130760.0      1.0      NaN      NaN     NaN
365    130761.0      1.0      NaN      NaN     NaN
366    130762.0      NaN      NaN      NaN     9.0
367    130763.0      1.0      NaN      NaN     NaN
368    130764.0      NaN      NaN      NaN     1.0
369    130765.0      NaN      NaN      NaN     5.0
370    130766.0      1.0      NaN      NaN     NaN
371    130767.0      1.0      NaN      NaN     NaN
372    130768.0      1.0      NaN      NaN     NaN
373    130769.0      1.0      NaN      NaN     NaN
374    130770.0      1.0      NaN      NaN     NaN
375    130771.0      1.0      NaN      NaN     NaN
376    130772.0      1.0      NaN      NaN     NaN
377    130773.0      1.0      NaN      NaN     NaN
378    130774.0      1.0      NaN      NaN     NaN
379    130775.0      1.0      NaN      NaN     NaN
380    130776.0      NaN      NaN      NaN     1.0
381    130777.0      1.0      NaN      NaN     NaN
382    130778.0      1.0      NaN      NaN     NaN
383    130779.0      1.0      NaN      NaN     NaN
384    130780.0      1.0      NaN      NaN     NaN
385    130781.0      1.0      NaN      NaN     NaN
386    130782.0      1.0      NaN      NaN     NaN
387    130783.0      1.0      NaN      NaN     NaN
388    130784.0      NaN      NaN      NaN     1.0
389    130785.0      1.0      NaN      NaN     NaN
390    130786.0      1.0      NaN      NaN     NaN
391    130787.0      1.0      NaN      NaN     NaN
392    130788.0      1.0      NaN      NaN     NaN
393    130789.0      NaN      NaN      NaN     2.0
394    130790.0      NaN      NaN      NaN     3.0
395    130791.0      1.0      NaN      NaN     NaN
396    130792.0      1.0      NaN      NaN     NaN
397    130793.0      1.0      NaN      NaN     NaN
398    130794.0      1.0      NaN      NaN     NaN
399    130795.0      1.0      NaN      NaN     NaN
400    130796.0      1.0      NaN      NaN     NaN
401    130797.0      1.0      NaN      NaN     NaN
402    130798.0      1.0      NaN      NaN     NaN
403    130799.0      1.0      NaN      NaN     NaN
404    130800.0      1.0      NaN      NaN     NaN
405    130801.0      NaN      NaN      NaN     5.0
406    130802.0      1.0      NaN      NaN     NaN
407    130803.0      NaN      NaN      NaN     5.0
408    130804.0      1.0      NaN      NaN     NaN
409    130805.0      1.0      NaN      NaN     NaN
410    130806.0      NaN      NaN      9.0     NaN
411    130807.0      1.0      NaN      NaN     NaN
412    130808.0      1.0      NaN      NaN     NaN
413    130809.0      NaN      NaN      9.0     NaN
414    130810.0      1.0      NaN      NaN     NaN
415    130811.0      NaN      NaN      NaN     1.0
416    130813.0      NaN      NaN      NaN     5.0
417    130814.0      1.0      NaN      NaN     NaN
418    130815.0      1.0      NaN      NaN     NaN
419    130816.0      1.0      NaN      NaN     NaN
420    130817.0      1.0      NaN      NaN     NaN
421    130818.0      1.0      NaN      NaN     NaN
422    130819.0      1.0      NaN      NaN     NaN
423    130820.0      1.0      NaN      NaN     NaN
424    130821.0      1.0      NaN      NaN     NaN
425    130822.0      1.0      NaN      NaN     NaN
426    130823.0      1.0      NaN      NaN     NaN
427    130824.0      1.0      NaN      NaN     NaN
428    130825.0      1.0      NaN      NaN     NaN
429    130826.0      1.0      NaN      NaN     NaN
430    130827.0      1.0      NaN      NaN     NaN
431    130828.0      NaN      NaN      9.0     NaN
432    130829.0      1.0      NaN      NaN     NaN
433    130830.0      1.0      NaN      NaN     NaN
434    130831.0      1.0      NaN      NaN     NaN
435    130832.0      1.0      NaN      NaN     NaN
436    130833.0      1.0      NaN      NaN     NaN
437    130834.0      1.0      NaN      NaN     NaN
438    130835.0      1.0      NaN      NaN     NaN
439    130836.0      1.0      NaN      NaN     NaN
440    130837.0      1.0      NaN      NaN     NaN
