FILE: occupation.XPT
------------------------------------------------------------
SHAPE: (8501, 6)
COLUMNS: ['SEQN', 'OCD150', 'OCQ180', 'OCQ210', 'OCQ215', 'OCQ383']
SEQN present: YES

Missing %:
SEQN       0.00
OCD150     0.19
OCQ180    50.04
OCQ210    83.05
OCQ215    46.96
OCQ383    57.49

Full DataFrame Preview:
          SEQN  OCD150   OCQ180  OCQ210  OCQ215  OCQ383
382   130924.0     4.0      NaN     NaN     NaN     1.0
383   130926.0     1.0     30.0     2.0     4.0     NaN
384   130930.0     1.0     40.0     NaN     5.0     NaN
385   130931.0     1.0     55.0     NaN     5.0     NaN
386   130932.0     3.0      NaN     NaN     NaN     NaN
387   130933.0     3.0      NaN     NaN     NaN     NaN
388   130934.0     1.0     80.0     NaN     5.0     NaN
389   130935.0     1.0     50.0     NaN     5.0     NaN
390   130936.0     2.0      NaN     1.0     5.0     NaN
391   130938.0     4.0      NaN     NaN     NaN     3.0
392   130939.0     1.0     40.0     NaN     5.0     NaN
393   130940.0     1.0     40.0     NaN     5.0     NaN
394   130941.0     1.0     20.0     2.0     3.0     NaN
395   130942.0     4.0      NaN     NaN     NaN     4.0
396   130943.0     4.0      NaN     NaN     NaN     3.0
397   130944.0     1.0     40.0     NaN     5.0     NaN
398   130945.0     3.0      NaN     NaN     NaN     NaN
399   130946.0     4.0      NaN     NaN     NaN     1.0
400   130947.0     4.0      NaN     NaN     NaN     3.0
401   130948.0     4.0      NaN     NaN     NaN     4.0
402   130950.0     4.0      NaN     NaN     NaN     3.0
403   130951.0     1.0     45.0     NaN     4.0     NaN
404   130952.0     1.0     41.0     NaN     4.0     NaN
405   130953.0     4.0      NaN     NaN     NaN     3.0
406   130955.0     4.0      NaN     NaN     NaN     2.0
407   130956.0     1.0     40.0     NaN     5.0     NaN
408   130960.0     4.0      NaN     NaN     NaN     3.0
409   130961.0     2.0      NaN     1.0     5.0     NaN
410   130962.0     4.0      NaN     NaN     NaN     2.0
411   130963.0     3.0      NaN     NaN     NaN     NaN
412   130964.0     1.0     40.0     NaN     5.0     NaN
413   130965.0     4.0      NaN     NaN     NaN     3.0
414   130966.0     1.0     40.0     NaN     5.0     NaN
415   130967.0     4.0      NaN     NaN     NaN     1.0
416   130968.0     1.0     39.0     NaN     4.0     NaN
417   130969.0     4.0      NaN     NaN     NaN     2.0
418   130970.0     1.0     12.0     2.0     3.0     NaN
419   130972.0     1.0     60.0     NaN     7.0     NaN
420   130974.0     1.0     40.0     NaN     5.0     NaN
421   130975.0     1.0     48.0     NaN     6.0     NaN
422   130977.0     4.0      NaN     NaN     NaN     1.0
423   130978.0     4.0      NaN     NaN     NaN     3.0
424   130980.0     4.0      NaN     NaN     NaN     4.0
425   130981.0     1.0     36.0     NaN     5.0     NaN
426   130982.0     4.0      NaN     NaN     NaN     3.0
427   130983.0     1.0     46.0     NaN     5.0     NaN
428   130984.0     1.0     55.0     NaN     6.0     NaN
429   130985.0     1.0     40.0     NaN     5.0     NaN
430   130986.0     4.0      NaN     NaN     NaN     3.0
431   130991.0     1.0     21.0     2.0     4.0     NaN
432   130992.0     1.0     30.0     1.0     4.0     NaN
433   130994.0     4.0      NaN     NaN     NaN     1.0
434   130995.0     1.0     45.0     NaN     5.0     NaN
435   130996.0     1.0     40.0     NaN     5.0     NaN
436   131000.0     1.0     40.0     NaN     5.0     NaN
