participant_id,Days_Physically_Active_60min,Hours_TV_Videos_Per_Day,participant_id_outlier,Days_Physically_Active_60min_outlier,Hours_TV_Videos_Per_Day_outlier
132322.0,3.0,2.0,False,False,False
132326.0,5.0,,False,False,False
132327.0,4.0,2.0,False,False,False
132328.0,2.0,5.397605346934028e-79,False,False,False
132329.0,,5.0,False,False,False
132333.0,1.0,8.0,False,False,False
132335.0,6.0,,False,False,False
132346.0,,,False,False,False
132347.0,5.0,2.0,False,False,False
132349.0,,2.0,False,False,False
132355.0,5.0,4.0,False,False,False
132357.0,,3.0,False,False,False
132360.0,6.0,3.0,False,False,False
132362.0,,1.0,False,False,False
132367.0,6.0,1.0,False,False,False
132369.0,5.0,5.0,False,False,False
132379.0,3.0,6.0,False,False,False
132384.0,,2.0,False,False,False
132388.0,,1.0,False,False,False
132390.0,3.0,8.0,False,False,False
132394.0,1.0,,False,False,False
132402.0,5.0,3.0,False,False,False
132405.0,5.0,5.397605346934028e-79,False,False,False
132409.0,1.0,,False,False,False
132413.0,5.0,2.0,False,False,False
132414.0,,8.0,False,False,False
132420.0,,1.0,False,False,False
132423.0,4.0,2.0,False,False,False
132424.0,3.0,3.0,False,False,False
132426.0,,1.0,False,False,False
132433.0,6.0,3.0,False,False,False
132441.0,6.0,2.0,False,False,False
132447.0,,5.397605346934028e-79,False,False,False
132449.0,,5.397605346934028e-79,False,False,False
132454.0,5.0,1.0,False,False,False
132455.0,6.0,5.397605346934028e-79,False,False,False
132460.0,4.0,1.0,False,False,False
132464.0,,1.0,False,False,False
132465.0,4.0,2.0,False,False,False
132466.0,,2.0,False,False,False
132473.0,3.0,1.0,False,False,False
132475.0,5.397605346934028e-79,6.0,False,False,False
132479.0,5.0,3.0,False,False,False
132480.0,5.0,3.0,False,False,False
132485.0,6.0,4.0,False,False,False
132490.0,,6.0,False,False,False
132495.0,,1.0,False,False,False
132496.0,,2.0,False,False,False
132509.0,,1.0,False,False,False
132512.0,4.0,3.0,False,False,False
132514.0,6.0,4.0,False,False,False
132519.0,3.0,,False,False,False
132527.0,,,False,False,False
132530.0,4.0,2.0,False,False,False
132531.0,6.0,1.0,False,False,False
132535.0,6.0,4.0,False,False,False
132541.0,1.0,6.0,False,False,False
132542.0,6.0,4.0,False,False,False
132544.0,,3.0,False,False,False
132551.0,5.0,2.0,False,False,False
132561.0,,1.0,False,False,False
132569.0,3.0,2.0,False,False,False
132570.0,1.0,4.0,False,False,False
132574.0,4.0,2.0,False,False,False
132577.0,2.0,,False,False,False
132578.0,6.0,1.0,False,False,False
132580.0,5.0,1.0,False,False,False
132582.0,5.0,2.0,False,False,False
132588.0,5.0,2.0,False,False,False
132590.0,3.0,2.0,False,False,False
132592.0,,2.0,False,False,False
132593.0,3.0,,False,False,False
132598.0,5.0,1.0,False,False,False
132599.0,6.0,1.0,False,False,False
132600.0,5.0,5.0,False,False,False
132602.0,5.397605346934028e-79,4.0,False,False,False
132604.0,4.0,4.0,False,False,False
132609.0,,3.0,False,False,False
132615.0,,3.0,False,False,False
132616.0,,,False,False,False
132620.0,3.0,5.0,False,False,False
132621.0,,5.0,False,False,False
132624.0,4.0,3.0,False,False,False
132626.0,,2.0,False,False,False
132627.0,5.0,1.0,False,False,False
132629.0,,1.0,False,False,False
132630.0,5.0,2.0,False,False,False
132644.0,4.0,2.0,False,False,False
132649.0,4.0,8.0,False,False,False
132657.0,,4.0,False,False,False
132658.0,4.0,4.0,False,False,False
132660.0,,6.0,False,False,False
132664.0,6.0,1.0,False,False,False
